prevalence,ppv,ppv_95ci_low,ppv_95ci_high,npv,npv_95ci_low,npv_95ci_high,p_pos,p_pos_low,p_pos_high,fdr,fdr_95ci_low,fdr_95ci_high,fomr,fomr_95ci_low,fomr_95ci_high
0.37,0.9531114327062228,0.9315157839812157,0.9678331565924355,0.8160126624018994,0.7977065530765435,0.8342075960235581,0.24185,0.25461,0.22998,0.04688856729377722,0.03216684340756448,0.0684842160187843,0.1839873375981006,0.1657924039764419,0.20229344692345652
0.375,0.9540581929555896,0.9328678839957034,0.9684924866698983,0.8127793411686807,0.7942326490713587,0.8312278928751895,0.244875,0.257875,0.23275,0.04594180704441042,0.03150751333010171,0.06713211600429658,0.18722065883131933,0.1687721071248105,0.2057673509286413
0.38,0.9549818475191609,0.934188179347826,0.9691353297082025,0.8095200106368833,0.7907335705316032,0.8282218552905828,0.2479,0.26114000000000004,0.23552,0.04501815248083907,0.030864670291797514,0.06581182065217395,0.19047998936311672,0.1717781447094172,0.2092664294683968
0.385,0.9558832320414467,0.9354777791766336,0.9697622964769954,0.8062343557053699,0.7872090428115687,0.8251891326069373,0.250925,0.26440500000000006,0.23829,0.04411676795855335,0.03023770352300459,0.06452222082336645,0.19376564429463006,0.17481086739306273,0.21279095718843133
0.39,0.9567631423508565,0.9367377416410851,0.9703739679456047,0.8029220561624556,0.7836587872559095,0.8221293679079105,0.25395,0.26767,0.24106,0.043236857649143534,0.02962603205439529,0.06326225835891486,0.1970779438375444,0.17787063209208953,0.21634121274409046
0.395,0.957622336803191,0.9379690768158143,0.970970897078635,0.7995827865818781,0.7800825211262017,0.8190421978835907,0.256975,0.27093500000000004,0.24383,0.04237766319680902,0.029029102921364958,0.06203092318418568,0.2004172134181219,0.18095780211640933,0.2199174788737983
0.4,0.9584615384615385,0.9391727493917275,0.9715536105032822,0.7962162162162162,0.7764799575258826,0.8159272526866905,0.26,0.27420000000000005,0.2466,0.041538461538461524,0.02844638949671785,0.06082725060827254,0.2037837837837838,0.18407274731330947,0.2235200424741174
0.405,0.9592814371257485,0.9403496811966153,0.9721226100589264,0.7928220088876828,0.7728508053235282,0.8127841557848409,0.263025,0.277465,0.24937000000000004,0.04071856287425146,0.027877389941073583,0.05965031880338467,0.20717799111231716,0.18721584421515913,0.22714919467647177
0.41,0.9600826912234541,0.9415007535496153,0.9726783742385922,0.7893998228762178,0.7691947690744256,0.8096125238088618,0.26605,0.28073000000000004,0.25214,0.03991730877654587,0.02732162576140784,0.058499246450384734,0.2106001771237822,0.19038747619113816,0.23080523092557437
0.415,0.960865929573539,0.9426268094621632,0.9732213595309775,0.7859493108048021,0.7655115489403964,0.8064119663968827,0.26907499999999995,0.28399500000000005,0.25490999999999997,0.039134070426461,0.026778640469022452,0.05737319053783685,0.21405068919519787,0.19358803360311727,0.2344884510596036
